time,ch1,ch2,ch3,ch4,label
0.0,-18.944626,22.459866,-9.2128105,-18.033058,calm
0.00390625,-15.274514,21.317019,-1.9493164,-25.962273,calm
0.0078125,-24.439365,23.19017,4.3839335,-20.822317,calm
0.01171875,-33.592888,35.978477,-3.1441936,-15.680961,calm
0.015625,-25.501732,30.61571,13.469255,-15.443181,calm
0.01953125,-14.4901905,28.892227,-8.163434,-6.2428536,calm
0.0234375,-13.757921,21.983093,13.255879,-10.210799,calm
0.02734375,-23.447287,19.684114,20.213615,-3.7766614,calm
0.03125,-20.357283,-9.062369,41.078167,27.278248,calm
0.03515625,-4.3009877,-3.3025835,31.777548,24.436508,calm
0.0390625,11.789978,-7.894708,37.32159,4.3432484,calm
0.04296875,-3.6875234,-9.537026,37.05972,36.52371,calm
0.046875,23.476124,-18.070362,20.382595,18.166899,calm
0.05078125,16.778055,-18.388037,7.645728,30.206688,calm
0.0546875,22.953533,-0.46275377,30.778772,28.204876,calm
0.05859375,23.729954,-24.081984,-1.343969,29.172812,calm
0.0625,23.428713,-18.290398,-16.15359,23.58508,calm
0.06640625,27.414253,-15.548611,-13.974523,3.27395,calm
0.0703125,30.393894,-28.045624,-32.653217,-19.429626,calm
0.07421875,15.758281,-39.90734,-16.423012,-9.471221,calm
0.078125,28.3065,-17.132418,-2.4939864,-17.308016,calm
0.08203125,5.9158883,-9.255635,-43.01342,-22.34903,calm
0.0859375,13.915317,-8.993798,-39.896408,-23.490585,calm
0.08984375,16.676474,-6.2800612,-15.447856,5.3984714,calm
0.09375,4.831436,-3.5500994,-31.239557,-24.19593,calm
0.09765625,-8.440895,1.4093708,-17.555426,-10.527711,calm
0.1015625,-16.085264,6.0953555,-30.64292,-23.67911,calm
0.10546875,-17.748207,12.429654,-23.025976,-19.295769,calm
0.109375,-16.929493,24.464674,-13.092035,-23.032373,calm
0.11328125,-33.95738,11.065969,-6.1552634,-23.789358,calm
0.1171875,-28.649183,25.795473,-21.174875,-17.79834,calm
0.12109375,-28.277973,14.869691,4.6587877,-20.907331,calm
0.125,-18.70364,28.623728,3.0916238,-14.285877,calm
0.12890625,-17.005898,-19.681637,1.3946242,-12.250748,calm
0.1328125,-8.972981,9.238284,12.238898,-7.843027,calm
0.13671875,-11.763994,3.2279174,29.315334,8.899582,calm
0.140625,0.38275364,-10.05111,26.352655,0.7904546,calm
0.14453125,15.080608,-19.224918,28.56264,16.850418,calm
0.1484375,25.749624,8.556074,-0.36253345,28.280201,calm
0.15234375,-0.42457962,-2.1257067,8.132185,19.007898,calm
0.15625,26.620972,-10.809115,14.914845,9.766016,calm
0.16015625,22.757975,-16.503696,17.570469,-11.967077,calm
0.1640625,14.167918,4.8854523,9.69785,7.1481123,calm
0.16796875,6.0435944,-13.248088,-9.322968,9.909758,calm
0.171875,-2.1192434,-20.204987,-5.4972997,-3.555658,calm
0.17578125,14.096568,-3.759411,-10.434193,-3.3589785,calm
0.1796875,18.452303,-7.014402,-3.789986,-0.4624527,calm
0.18359375,16.701792,-0.9482417,-0.4281691,-5.691251,calm
0.1875,11.661821,-13.231002,3.2386377,-1.0739133,calm
0.19140625,1.3733268,18.21096,-7.336956,-0.7803487,calm
0.1953125,-15.901662,20.371,5.8447456,1.7438216,calm
0.19921875,-6.4703503,17.228699,0.7385708,-22.65207,calm
0.203125,-3.1933775,7.8081293,8.120193,-13.782553,calm
0.20703125,-26.117062,26.933586,-21.999432,-8.854704,calm
0.2109375,-12.114292,20.811106,-5.06087,-19.054272,calm
0.21484375,-13.137499,17.978796,-23.193808,3.298224,calm
0.21875,-9.726422,11.011097,-8.785756,-0.29519054,calm
0.22265625,-25.326128,19.15511,8.14863,-2.6652477,calm
0.2265625,-14.54129,-4.9171624,-4.667455,-2.6674106,calm
0.23046875,-4.900104,3.089558,7.2406697,9.254856,calm
0.234375,-3.901556,-6.6395316,15.730459,-0.12059944,calm
0.23828125,33.389755,6.8929925,34.443157,33.972267,calm
0.2421875,18.038324,-14.518789,20.404531,18.044195,calm
0.24609375,31.234982,-24.255257,3.2712088,38.624607,calm
0.25,27.761751,-23.151068,-12.79371,30.246185,calm
0.25390625,45.982117,-13.687007,-0.5223059,35.660934,calm
0.2578125,40.90544,-20.326756,-10.839118,24.920328,calm
0.26171875,30.005274,-35.267742,-6.3078218,3.145172,calm
0.265625,-3.1818447,-24.896233,-20.193102,-8.61708,calm
0.26953125,14.510091,-16.24611,-23.535246,-3.3750281,calm
0.2734375,16.446905,-19.476347,-41.871426,-10.076329,calm
0.27734375,15.96872,-20.453674,-10.2146225,-18.173082,calm
0.28125,-3.3438466,-12.130881,-32.147957,-23.305391,calm
0.28515625,18.183073,-12.643457,-10.200815,-26.371391,calm
0.2890625,-16.3712,-14.144404,0.4940391,-24.72099,calm
0.29296875,-13.591939,10.405189,-12.267697,-25.286837,calm
0.296875,-2.3234253,14.297485,-9.79652,-18.467194,calm
0.30078125,-16.656382,11.9821,-16.932295,-25.396362,calm
0.3046875,-2.917125,26.646505,1.9210871,-22.550188,calm
0.30859375,-26.439528,22.522625,15.204088,-20.71645,calm
0.3125,-38.763382,29.442415,-8.470845,-2.1066496,calm
0.31640625,-38.221767,33.76251,-1.624222,-13.701042,calm
0.3203125,-44.704136,46.04164,9.859236,-39.438652,calm
0.32421875,-43.05545,32.332478,20.848831,-11.722205,calm
0.328125,-17.858334,2.7863724,19.360933,-13.573341,calm
0.33203125,-10.313963,1.5556318,27.626688,2.799679,calm
0.3359375,5.790581,-2.835162,50.507263,-6.6309657,calm
0.33984375,-5.9060073,-9.72426,31.049398,18.842806,calm
0.34375,26.126226,3.9731262,49.89752,31.65286,calm
0.34765625,12.00322,5.115496,32.723904,38.965256,calm
0.3515625,33.952232,-7.323173,30.492334,20.205635,calm
0.35546875,14.974113,2.3411388,18.038315,24.90361,calm
0.359375,11.250633,8.832978,3.5066917,27.536264,calm
0.36328125,19.300283,10.324208,-14.194391,8.225283,calm
